lane,path,status,programs,checked_arith,widening_arith,compare,failed,checked_targets
bas,conformance/tests/err_resume_next_clears.bas,ok,1,0,0,0,0,
bas,conformance/tests/err_surface_fields_subset.bas,ok,1,0,0,0,0,
bas,conformance/tests/error_goto_label_resume_next.bas,ok,1,0,0,0,0,
bas,conformance/tests/error_nested_mode_transitions.bas,ok,1,0,0,0,0,
bas,conformance/tests/error_nested_resume_chain.bas,ok,1,0,0,0,0,
bas,conformance/tests/error_raise_custom_clear_cycle.bas,ok,1,0,0,0,0,
bas,conformance/tests/error_resume_function_propagation.bas,ok,1,0,1,0,0,
bas,conformance/tests/financial_algorithm_npv_irr_mirr_subset.bas,bind: Wrong number of arguments or invalid property assignment,0,0,0,0,1,
bas,conformance/tests/financial_algorithm_rate_nper_subset.bas,ok,1,2,0,0,0,Integer:2
bas,conformance/tests/financial_tolerance_mixed_modes.bas,ok,1,0,0,0,0,
bas,conformance/tests/financial_tolerance_non_convergence.bas,ok,1,0,0,0,0,
bas,conformance/tests/for_basic.bas,ok,1,0,2,3,0,
bas,conformance/tests/for_each_array_literal_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/for_each_array_variable_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/for_exit_for_basic.bas,ok,1,0,3,3,0,
bas,conformance/tests/for_nested_select_case.bas,ok,1,0,4,6,0,
bas,conformance/tests/for_step_negative.bas,ok,1,1,2,3,0,Integer:1
bas,conformance/tests/for_step_positive.bas,ok,1,0,2,3,0,
bas,conformance/tests/for_zero_iter.bas,ok,1,0,2,3,0,
bas,conformance/tests/function_call_basic.bas,ok,1,0,1,0,0,
bas,conformance/tests/function_return_explicit_as_precedence_error.bas,"bind: symbol model error: syntax parse failed in module function_return_explicit_as_precedence_error: [ParseError { offset: 18, message: ""expected end of statement"" }]",0,0,0,0,1,
bas,conformance/tests/gosub_basic.bas,ok,1,1,2,1,0,Integer:1
bas,conformance/tests/gosub_loop_accumulate.bas,ok,1,0,3,3,0,
bas,conformance/tests/gosub_missing_label_error.bas,bind: Label not defined,0,0,0,0,1,
bas,conformance/tests/gosub_nested_labels.bas,ok,1,0,2,0,0,
bas,conformance/tests/gosub_repeated.bas,ok,1,1,1,1,0,Integer:1
bas,conformance/tests/goto_label_basic.bas,ok,1,0,1,0,0,
bas,conformance/tests/goto_line_number_statement_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/goto_missing_label_error.bas,bind: Label not defined,0,0,0,0,1,
bas,conformance/tests/goto_numeric_basic.bas,ok,1,0,1,0,0,
bas,conformance/tests/if_and.bas,ok,1,0,1,2,0,
bas,conformance/tests/if_else_path.bas,ok,1,0,0,1,0,
bas,conformance/tests/if_elseif_else_path.bas,ok,1,0,0,2,0,
bas,conformance/tests/if_elseif_path.bas,ok,1,0,0,2,0,
bas,conformance/tests/if_false.bas,ok,1,0,1,1,0,
bas,conformance/tests/if_ge.bas,ok,1,0,1,1,0,
bas,conformance/tests/if_lt.bas,ok,1,0,1,1,0,
bas,conformance/tests/if_neq.bas,ok,1,0,1,1,0,
bas,conformance/tests/if_or_not.bas,ok,1,0,1,2,0,
bas,conformance/tests/if_true.bas,ok,1,0,1,1,0,
bas,conformance/tests/introspection_vartype_isnumeric_tags.bas,ok,1,0,0,0,0,
bas,conformance/tests/jit_intrinsic_math_subset.bas,ok,1,1,0,0,0,Integer:1
bas,conformance/tests/late_bound_default_member_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/late_bound_default_member_exec.bas,ok,1,0,0,0,0,
bas,conformance/tests/late_bound_named_argument_exec.bas,ok,1,0,0,0,0,
bas,conformance/tests/late_call_named_argument_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/line_continuation_basic.bas,ok,1,0,1,0,0,
bas,conformance/tests/module_const_basic.bas,ok,1,1,0,0,0,Integer:1
bas,conformance/tests/nested_if_for.bas,ok,1,0,3,4,0,
bas,conformance/tests/object_collection_add_item.bas,ok,1,0,0,0,0,
bas,conformance/tests/object_collection_count_chain.bas,ok,1,0,0,0,0,
bas,conformance/tests/object_collection_remove_count.bas,ok,1,0,0,0,0,
bas,conformance/tests/object_identity_is_nothing.bas,ok,1,0,0,2,0,
bas,conformance/tests/object_identity_is_same_and_different.bas,ok,1,0,0,2,0,
bas,conformance/tests/on_error_default_fail.bas,ok,1,0,0,0,0,
bas,conformance/tests/on_error_goto_label_missing_label_error.bas,bind: Label not defined,0,0,0,0,1,
bas,conformance/tests/on_error_goto_label_resume.bas,ok,1,1,1,1,0,Integer:1
bas,conformance/tests/on_error_goto_label_then_goto_zero_error.bas,ok,1,1,0,1,0,Integer:1
bas,conformance/tests/on_error_goto_zero_fail.bas,ok,1,0,0,0,0,
bas,conformance/tests/on_error_resume_continue.bas,ok,1,0,1,0,0,
bas,conformance/tests/on_error_resume_next.bas,ok,1,0,0,0,0,
bas,conformance/tests/operator_arithmetic_object_plus_error.bas,ok,1,0,1,0,0,
bas,conformance/tests/operator_comparison_object_long_error.bas,ok,1,0,0,1,0,
bas,conformance/tests/option_explicit_error.bas,bind: Variable not defined,0,0,0,0,1,
bas,conformance/tests/option_explicit_ok.bas,ok,1,0,1,0,0,
bas,conformance/tests/params_byref.bas,ok,1,0,1,0,0,
bas,conformance/tests/params_byref_error.bas,ok,1,0,1,0,0,
bas,conformance/tests/params_byref_nested_modify.bas,ok,1,0,2,0,0,
bas,conformance/tests/params_byref_swap.bas,ok,1,0,0,0,0,
bas,conformance/tests/params_byval.bas,ok,1,0,1,0,0,
